feature,coefficient
bedrooms,-43721.843911634045
bathrooms,3755.466958969845
sqft_living,136751.27754938471
sqft_above,124702.92667197046
sqft_basement,51611.3840665798
floors,-1981.4836667228687
city_Algona,-190082.01141730748
city_Auburn,-187563.4092696909
city_Beaux Arts Village,393331.9694413687
city_Bellevue,193135.48022412142
city_Black Diamond,-114231.49524497484
city_Bothell,-93747.61042958045
city_Burien,-75100.1512342202
city_Carnation,-126024.30918385954
city_Clyde Hill,576168.19758366
city_Covington,-191238.23801144538
city_Des Moines,-120701.09640600243
city_Duvall,-124452.8172786856
city_Enumclaw,-177034.55196269517
city_Fall City,-17275.23031729887
city_Federal Way,-205468.8863833862
city_Issaquah,-11008.308186210108
city_Kenmore,-55858.335385229104
city_Kent,-177683.59636930522
city_Kirkland,103126.61988151395
city_Lake Forest Park,-70233.46147335575
city_Maple Valley,-172508.76364976508
city_Medina,942361.4332517408
city_Mercer Island,362603.3765741462
city_Milton,-10934.585939777613
city_Newcastle,-8542.204266501092
city_Normandy Park,22491.52199254636
city_North Bend,-112294.14547048988
city_Pacific,-164729.2915910436
city_Preston,-50294.040686318454
city_Ravensdale,-210856.34750079835
city_Redmond,44684.1508183254
city_Renton,-132086.248293614
city_Sammamish,-9764.916635369294
city_SeaTac,-131650.2973691109
city_Seattle,131300.79054939852
city_Shoreline,-1971.6923861653934
city_Skykomish,-105266.3762591297
city_Snoqualmie,-164827.77919003845
city_Snoqualmie Pass,5719.9588027520085
city_Tukwila,-90448.09521725656
city_Vashon,-11761.082995598055
city_Woodinville,-60555.66789050911
city_Yarrow Point,601271.5447750745
